"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10800,"OKC@LAL 10:30PM ET",52.958,"OKC"
"PF","Anthony Davis",10600,"Ind@NO 08:00PM ET",47.855,"NO"
"PG","Stephen Curry",10500,"GS@Por 10:00PM ET",50.818,"GS"
"SF","Kevin Durant",10300,"OKC@LAL 10:30PM ET",47.767,"OKC"
"PF","Draymond Green",10000,"GS@Por 10:00PM ET",43.800,"GS"
"SF","LeBron James",9800,"Cle@Min 08:00PM ET",47.414,"Cle"
"PG","John Wall",9400,"Tor@Was 07:00PM ET",44.417,"Was"
"SF","Paul George",9100,"Ind@NO 08:00PM ET",43.871,"Ind"
"PG","Kyle Lowry",8600,"Tor@Was 07:00PM ET",42.162,"Tor"
"PG","Damian Lillard",8400,"GS@Por 10:00PM ET",42.419,"Por"
"SF","Kawhi Leonard",8400,"NY@SA 08:30PM ET",39.843,"SA"
"SG","Eric Bledsoe",8300,"Mia@Pho 09:30PM ET",39.056,"Pho"
"SG","DeMar DeRozan",8000,"Tor@Was 07:00PM ET",35.980,"Tor"
"SG","Klay Thompson",8000,"GS@Por 10:00PM ET",32.311,"GS"
"PF","Chris Bosh",7900,"Mia@Pho 09:30PM ET",36.536,"Mia"
"C","Brook Lopez",7900,"Orl@Bkn 07:30PM ET",38.086,"Bkn"
"SF","Carmelo Anthony",7800,"NY@SA 08:30PM ET",38.389,"NY"
"SG","Tyreke Evans",7700,"Ind@NO 08:00PM ET",36.484,"NO"
"PG","Brandon Knight",7500,"Mia@Pho 09:30PM ET",35.243,"Pho"
"PF","Thaddeus Young",7400,"Orl@Bkn 07:30PM ET",33.729,"Bkn"
"C","Hassan Whiteside",7300,"Mia@Pho 09:30PM ET",35.279,"Mia"
"SG","C.J. McCollum",7300,"GS@Por 10:00PM ET",35.264,"Por"
"PF","Kevin Love",7200,"Cle@Min 08:00PM ET",36.629,"Cle"
"SF","Danilo Gallinari",7100,"Den@Mem 08:00PM ET",32.200,"Den"
