"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"12362","C","DeMarcus","Cousins","44.4","28","10500","GS@SAC","SAC","GS","","","",""
"9524","PG","Stephen","Curry","46.1","34","10500","GS@SAC","GS","SAC","","","",""
"12332","PG","John","Wall","40.1","34","9800","WAS@ORL","WAS","ORL","","","",""
"15860","PF","Draymond","Green","40","36","9700","GS@SAC","GS","SAC","","","",""
"9535","PG","Kyle","Lowry","39","38","9000","TOR@PHI","TOR","PHI","","","",""
"15557","C","Andre","Drummond","42.4","36","8900","BKN@DET","DET","BKN","","","",""
"9621","C","Brook","Lopez","35.6","36","8700","BKN@DET","BKN","DET","","","",""
"9455","PG","Rajon","Rondo","37.4","34","8300","GS@SAC","SAC","GS","","","",""
"9718","PF","Chris","Bosh","33.8","36","8000","MIA@UTA","MIA","UTA","","","",""
"9714","SG","DeMar","DeRozan","34.6","38","8000","TOR@PHI","TOR","PHI","","","",""
"14509","SG","Klay","Thompson","30.1","34","7800","GS@SAC","GS","SAC","","","",""
"12351","PF","Derrick","Favors","33.3","26","7700","MIA@UTA","UTA","MIA","GTD","Back","",""
"14514","C","Nikola","Vucevic","32.6","34","7400","WAS@ORL","ORL","WAS","","","",""
"12366","SF","Gordon","Hayward","29.9","35","7300","MIA@UTA","UTA","MIA","","","",""
"12363","C","Hassan","Whiteside","32.6","35","7300","MIA@UTA","MIA","UTA","","","",""
"14523","PG","Reggie","Jackson","33.3","36","7300","BKN@DET","DET","BKN","","","",""
"9585","SG","Dwyane","Wade","30.8","35","7300","MIA@UTA","MIA","UTA","","","",""
"15595","SG","Brad","Beal","30.2","17","7200","WAS@ORL","WAS","ORL","O","Leg","",""
"9577","SF","Rudy","Gay","30.3","34","7200","GS@SAC","SAC","GS","","","",""
"9666","PF","Thaddeus","Young","31.3","36","7100","BKN@DET","BKN","DET","","","",""
"9661","C","Marcin","Gortat","29.6","31","6900","WAS@ORL","WAS","ORL","","","",""
"40203","C","Rudy","Gobert","28.2","15","6900","MIA@UTA","UTA","MIA","","","",""
"23825","PF","Nerlens","Noel","25.6","32","6300","TOR@PHI","PHI","TOR","","","",""
"58083","C","Jahlil","Okafor","28.7","34","6200","TOR@PHI","PHI","TOR","","","",""
"12511","PG","Ishmael","Smith","22.1","27","6100","TOR@PHI","PHI","TOR","","","",""
"15628","SF","Otto","Porter","25.2","31","6000","WAS@ORL","WAS","ORL","","","",""
"15684","SG","Victor","Oladipo","26.5","35","6000","WAS@ORL","ORL","WAS","","","",""
"14503","C","Jonas","Valanciunas","24.8","21","5900","TOR@PHI","TOR","PHI","","","",""
"15636","SG","Kentavious","Caldwell-Pope","24","36","5900","BKN@DET","DET","BKN","","","",""
"14518","SF","Tobias","Harris","27.1","37","5700","WAS@ORL","ORL","WAS","","","",""
"9960","SF","Omri","Casspi","23.3","32","5700","GS@SAC","SAC","GS","GTD","Back","",""
"19138","PG","Elfrid","Payton","25","34","5700","WAS@ORL","ORL","WAS","O","Ankle","",""
"9673","PG","Goran","Dragic","24","35","5600","MIA@UTA","MIA","UTA","","","",""
"9787","SF","DeMarre","Carroll","21.5","23","5400","TOR@PHI","TOR","PHI","O","Knee","",""
"9624","PG","Darren","Collison","22.8","31","5300","GS@SAC","SAC","GS","","","",""
"9593","PG","Brandon","Jennings","15.4","5","5200","BKN@DET","DET","BKN","","","",""
"15904","SG","Rodney","Hood","21.2","34","5200","MIA@UTA","UTA","MIA","GTD","Ankle","",""
