"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10600,"OKC@Por 09:00PM ET",53.216,"OKC"
"PF","Anthony Davis",10500,"NO@LAC 03:30PM ET",46.453,"NO"
"SF","Kevin Durant",10100,"OKC@Por 09:00PM ET",47.567,"OKC"
"SG","James Harden",9900,"Ind@Hou 07:00PM ET",49.669,"Hou"
"SF","LeBron James",9800,"Cle@Phi 06:00PM ET",47.371,"Cle"
"SF","Paul George",9100,"Ind@Hou 07:00PM ET",43.549,"Ind"
"PG","Chris Paul",9000,"NO@LAC 03:30PM ET",40.531,"LAC"
"PF","Blake Griffin",8900,"NO@LAC 03:30PM ET",43.567,"LAC"
"PG","Damian Lillard",8800,"OKC@Por 09:00PM ET",43.273,"Por"
"PG","Kemba Walker",8400,"Cha@Den 08:00PM ET",36.313,"Cha"
"SF","Carmelo Anthony",8200,"Mil@NY 07:30PM ET",38.595,"NY"
"SG","Tyreke Evans",8000,"NO@LAC 03:30PM ET",37.324,"NO"
"C","DeAndre Jordan",7900,"NO@LAC 03:30PM ET",36.108,"LAC"
"PG","Isaiah Thomas",7500,"Bos@Mem 06:00PM ET",36.979,"Bos"
"SF","Nicolas Batum",7400,"Cha@Den 08:00PM ET",35.339,"Cha"
"SF","Gordon Hayward",7300,"Uta@LAL 09:30PM ET",32.618,"Uta"
"PF","Derrick Favors",7300,"Uta@LAL 09:30PM ET",34.942,"Uta"
"PG","Michael Carter-Williams",7300,"Mil@NY 07:30PM ET",30.280,"Mil"
"PF","Kevin Love",7200,"Cle@Phi 06:00PM ET",36.735,"Cle"
"SG","C.J. McCollum",7200,"OKC@Por 09:00PM ET",35.020,"Por"
"PG","Kyrie Irving",7200,"Cle@Phi 06:00PM ET",27.031,"Cle"
"C","Dwight Howard",7100,"Ind@Hou 07:00PM ET",35.600,"Hou"
"SF","Danilo Gallinari",7100,"Cha@Den 08:00PM ET",32.565,"Den"
"C","Marc Gasol",7000,"Bos@Mem 06:00PM ET",34.072,"Mem"
"C","Karl-Anthony Towns",7000,"Dal@Min 05:00PM ET",34.250,"Min"
"PG","Ish Smith",6900,"Cle@Phi 06:00PM ET",25.907,"Phi"
"PG","Ricky Rubio",6900,"Dal@Min 05:00PM ET",32.863,"Min"
"SG","Khris Middleton",6800,"Mil@NY 07:30PM ET",29.553,"Mil"
"PF","Kristaps Porzingis",6700,"Mil@NY 07:30PM ET",30.480,"NY"
"PF","Nerlens Noel",6600,"Cle@Phi 06:00PM ET",27.682,"Phi"
"SF","Jae Crowder",6500,"Bos@Mem 06:00PM ET",28.215,"Bos"
"C","Greg Monroe",6400,"Mil@NY 07:30PM ET",34.556,"Mil"
"SG","Will Barton",6400,"Cha@Den 08:00PM ET",30.338,"Den"
"SF","Giannis Antetokounmpo",6400,"Mil@NY 07:30PM ET",30.701,"Mil"
"SG","Andrew Wiggins",6400,"Dal@Min 05:00PM ET",29.736,"Min"
"PF","Dirk Nowitzki",6300,"Dal@Min 05:00PM ET",31.743,"Dal"
"PG","Mike Conley",6300,"Bos@Mem 06:00PM ET",30.597,"Mem"
"C","Zaza Pachulia",6200,"Dal@Min 05:00PM ET",29.583,"Dal"
"SG","Kobe Bryant",6100,"Uta@LAL 09:30PM ET",30.121,"LAL"
"PF","Zach Randolph",6100,"Bos@Mem 06:00PM ET",27.758,"Mem"
"SG","Lou Williams",6100,"Uta@LAL 09:30PM ET",24.681,"LAL"
"PF","Serge Ibaka",6100,"OKC@Por 09:00PM ET",27.966,"OKC"
"SG","Monta Ellis",6000,"Ind@Hou 07:00PM ET",27.868,"Ind"
"PF","Kenneth Faried",6000,"Cha@Den 08:00PM ET",27.828,"Den"
"C","Jahlil Okafor",6000,"Cle@Phi 06:00PM ET",30.829,"Phi"
"PG","Deron Williams",5900,"Dal@Min 05:00PM ET",28.758,"Dal"
"PF","Ryan Anderson",5900,"NO@LAC 03:30PM ET",28.530,"NO"
"SG","Evan Turner",5900,"Bos@Mem 06:00PM ET",23.611,"Bos"
"C","Rudy Gobert",5900,"Uta@LAL 09:30PM ET",30.125,"Uta"
"SG","Rodney Hood",5800,"Uta@LAL 09:30PM ET",22.993,"Uta"
"C","Al Jefferson",5700,"Cha@Den 08:00PM ET",26.053,"Cha"
"PG","Jordan Clarkson",5700,"Uta@LAL 09:30PM ET",25.924,"LAL"
"PG","Jeremy Lin",5600,"Cha@Den 08:00PM ET",23.662,"Cha"
"SF","Chandler Parsons",5600,"Dal@Min 05:00PM ET",18.767,"Dal"
"SF","Wilson Chandler",5500,"Cha@Den 08:00PM ET",0,"Den"
"C","Jared Sullinger",5500,"Bos@Mem 06:00PM ET",27.671,"Bos"
"PF","Clint Capela",5500,"Ind@Hou 07:00PM ET",21.944,"Hou"
"SF","Matt Barnes",5400,"Bos@Mem 06:00PM ET",21.313,"Mem"
"PG","Mario Chalmers",5400,"Bos@Mem 06:00PM ET",19.907,"Mem"
"PG","Jrue Holiday",5400,"NO@LAC 03:30PM ET",24.940,"NO"
"PF","Cody Zeller",5400,"Cha@Den 08:00PM ET",20.485,"Cha"
"PG","Emmanuel Mudiay",5400,"Cha@Den 08:00PM ET",25.511,"Den"
"SG","J.J. Redick",5300,"NO@LAC 03:30PM ET",22.280,"LAC"
"SF","Trevor Ariza",5300,"Ind@Hou 07:00PM ET",24.528,"Hou"
"SF","Jeff Green",5300,"Bos@Mem 06:00PM ET",21.178,"Mem"
"PG","Trey Burke",5300,"Uta@LAL 09:30PM ET",20.563,"Uta"
"PG","Jameer Nelson",5200,"Cha@Den 08:00PM ET",20.963,"Den"
"PG","J.J. Barea",5200,"Dal@Min 05:00PM ET",19.710,"Dal"
"PG","George Hill",5200,"Ind@Hou 07:00PM ET",25.648,"Ind"
"SG","Avery Bradley",5200,"Bos@Mem 06:00PM ET",24.476,"Bos"
"SG","Wesley Matthews",5100,"Dal@Min 05:00PM ET",22.941,"Dal"
"C","Kelly Olynyk",5100,"Bos@Mem 06:00PM ET",20.336,"Bos"
"PF","Tristan Thompson",5100,"Cle@Phi 06:00PM ET",22.213,"Cle"
"SG","J.R. Smith",5000,"Cle@Phi 06:00PM ET",21.592,"Cle"
"SF","Al-Farouq Aminu",5000,"OKC@Por 09:00PM ET",24.397,"Por"
"PF","Julius Randle",5000,"Uta@LAL 09:30PM ET",26.905,"LAL"
"PF","Marvin Williams",4900,"Cha@Den 08:00PM ET",23.590,"Cha"
"SG","Eric Gordon",4900,"NO@LAC 03:30PM ET",24.614,"NO"
"C","Mason Plumlee",4900,"OKC@Por 09:00PM ET",25.846,"Por"
"C","Enes Kanter",4900,"OKC@Por 09:00PM ET",23.270,"OKC"
"PF","Jabari Parker",4900,"Mil@NY 07:30PM ET",19.641,"Mil"
"C","Jusuf Nurkic",4900,"Cha@Den 08:00PM ET",21.500,"Den"
"SG","Arron Afflalo",4800,"Mil@NY 07:30PM ET",22.242,"NY"
"C","Ian Mahinmi",4800,"Ind@Hou 07:00PM ET",23.154,"Ind"
"PG","Zach LaVine",4800,"Dal@Min 05:00PM ET",22.115,"Min"
"PG","D'Angelo Russell",4800,"Uta@LAL 09:30PM ET",24.122,"LAL"
"C","Robin Lopez",4700,"Mil@NY 07:30PM ET",20.066,"NY"
"PF","Trevor Booker",4700,"Uta@LAL 09:30PM ET",17.436,"Uta"
"C","Jeff Withey",4700,"Uta@LAL 09:30PM ET",15.009,"Uta"
"PF","Larry Nance Jr.",4700,"Uta@LAL 09:30PM ET",14.712,"LAL"
"SF","C.J. Miles",4600,"Ind@Hou 07:00PM ET",22.734,"Ind"
