"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9642","PG","Russell","Westbrook","48.7","36","10600","OKC@LAL","OKC","LAL","","","",""
"9524","PG","Stephen","Curry","46.1","33","10500","GS@POR","GS","POR","GTD","Shin","",""
"15755","PF","Anthony","Davis","44.8","31","10400","IND@NO","NO","IND","","","",""
"9646","SF","Kevin","Durant","44.1","29","10100","OKC@LAL","OKC","LAL","","","",""
"9488","SF","LeBron","James","44.3","32","9900","CLE@MIN","CLE","MIN","","","",""
"12332","PG","John","Wall","40.5","33","9800","TOR@WAS","WAS","TOR","","","",""
"15860","PF","Draymond","Green","40","35","9700","GS@POR","GS","POR","","","",""
"9535","PG","Kyle","Lowry","38.9","37","9000","TOR@WAS","TOR","WAS","","","",""
"20848","PG","Damian","Lillard","38.7","31","8900","GS@POR","POR","GS","","","",""
"9508","SF","Carmelo","Anthony","36.7","35","8800","NY@SA","NY","SA","","","",""
"12341","SF","Paul","George","39.6","35","8800","IND@NO","IND","NO","","","",""
"9621","C","Brook","Lopez","35.8","35","8700","ORL@BKN","BKN","ORL","","","",""
"14513","SF","Kawhi","Leonard","37.6","35","8300","NY@SA","SA","NY","","","",""
"19067","SG","C.J.","McCollum","32.6","36","8200","GS@POR","POR","GS","","","",""
"9718","PF","Chris","Bosh","34","35","8000","MIA@PHO","MIA","PHO","","","",""
"9714","SG","DeMar","DeRozan","34.3","37","8000","TOR@WAS","TOR","WAS","","","",""
"14509","SG","Klay","Thompson","29.5","33","7800","GS@POR","GS","POR","","","",""
"14498","PG","Kyrie","Irving","27","7","7800","CLE@MIN","CLE","MIN","","","",""
"9692","PG","Tyreke","Evans","33.7","16","7600","IND@NO","NO","IND","","","",""
"58462","C","Karl-Anthony","Towns","32","36","7600","CLE@MIN","MIN","CLE","","","",""
"14496","PG","Ricky","Rubio","31.1","30","7500","CLE@MIN","MIN","CLE","","","",""
"9581","C","Marc","Gasol","32.1","37","7500","DEN@MEM","MEM","DEN","","","",""
"14514","C","Nikola","Vucevic","32.3","33","7400","ORL@BKN","ORL","BKN","","","",""
"12337","C","Greg","Monroe","32.8","35","7400","DAL@MIL","MIL","DAL","","","",""
"12363","C","Hassan","Whiteside","33.1","34","7300","MIA@PHO","MIA","PHO","","","",""
